,fiction_work,film_adaptation,film_year
1312,"The Scarlet Pimpernel (1903–1905), Baroness Emmuska Orczy","The Scarlet Pimpernel (1917)
The Laughing Cavalier (1917)
The Elusive Pimpernel (1919)
The Triumph of the Scarlet Pimpernel (1928)
The Scarlet Pimpernel (1934)
* Return of the Scarlet Pimpernel (1937)
Pimpernel Smith (1941)
Pimpernel Svensson (1950)
The Elusive Pimpernel (1950) (a.k.a. The Fighting Pimpernel, U.S.A. only)
The Scarlet Pimpernel (1960) (TV)
Don't Lose Your Head (1966) (a.k.a. Carry On Pimpernel, U.S.A. only)
The Elusive Pimpernel (1969)
The Scarlet Pimpernel (1982) (TV)
The Scarlet Pimpernel (1987) (TV)
The Forecourt Pimpernel (2001) (TV)
The Black Pimpernel (2006)
The Scarlet Pimpernel (2010)","['1917', '1917', '1919', '1928', '1934', '1937', '1941', '1950', '1950', '1960', '1966', '1969', '1982', '1987', '2001', '2006', '2010']"
1313,"The Searchers (1954), Alan Le May",The Searchers (1956),['1956']
1314,"Schindler's Ark (1982),[1] Thomas Keneally",Schindler's List (1993),['1993']
1315,"The Screaming Mimi (1949), Fredric Brown","The Screaming Mimi (1958)
The Bird with the Crystal Plumage (1970)","['1958', '1970']"
1316,"The Score (1963), Donald E. Westlake (as Richard Stark)","Mise à sac (1967)
The Score (1978)","['1967', '1978']"
1317,"The Sea Hawk (1915), Rafael Sabatini","The Sea Hawk (1924)
The Sea Hawk (1940)","['1924', '1940']"
1318,"The Sea-Wolf (1904), Jack London","The Sea-Wolf (1913)
The Sea Wolf (1920)
The Sea Wolf (1926)
The Sea Wolf (1930)
The Sea Wolf (1941)
Wolf Larsen (1958)
Der Seewolf (1972) (TV) (mini)
Il Lupo dei Mari (The Legend of the Sea Wolf) (1975)
Morskoj volk (1991) (TV)
The Sea Wolf (1993) (TV)
The Sea Wolf (1997)
The Sea Wolf (2008)
Sea Wolf (2009)","['1913', '1920', '1926', '1930', '1941', '1958', '1972', '1975', '1991', '1993', '1997', '2008', '2009']"
1319,"The Second Victory (1958) (a. k. a. Backlash), Morris West",The Second Victory (1986),['1986']
1320,The Secret Agent (1907) Joseph Conrad,"Sabotage (1936)
The Secret Agent (1996)","['1936', '1996']"
1321,"The Secret Dreamworld of a Shopaholic (2003), Madeline Wickham (as Sophie Kinsella)",Confessions of a Shopaholic (2009),['2009']
1322,"The Secret Life of Bees (2002), Sue Monk Kidd",The Secret Life of Bees (2008),['2008']
1323,"A Selva (1900), José Maria Ferreira de Castro (as Ferreira de Castro)",The Forest (2002),['2002']
1324,"Sense and Sensibility (1811), Jane Austen","Sense and Sensibility (1981) (TV)
Sense and Sensibility (1995)
Kandukondain Kandukondain (2000)
Sense and Sensibility (2008) (TV)
From Prada to Nada (2011)","['1981', '1995', '2000', '2008', '2011']"
1325,"Seven Days to a Killing (1973), Clive Egleton",The Black Windmill (1974),['1974']
1326,"The Seven-Per-Cent Solution (1974), Nicholas Meyer",The Seven-Per-Cent Solution (1976),['1976']
1327,"The Seventh (1967), Donald E. Westlake (as Richard Stark)",The Split (1968),['1968']
1328,"A Severa (1900), Júlio Dantas",A Severa (1931),['1931']
1329,"The Shadow Line (1917), Joseph Conrad",Smuga cienia (The Shadow Line) (1976),['1976']
1330,"The Shadow Riders (1982), Louis L'Amour",The Shadow Riders (1982) (TV),['1982']
1331,"Shaft (1970), Ernest Tidyman","Shaft (1971)
* Shaft's Big Score (1972)
** Shaft in Africa (1973)
** * Shaft (2000)","['1971', '1972', '1973', '2000']"
1332,"Shaft's Big Score (1972), Ernest Tidyman",Shaft's Big Score (1972),['1972']
1333,"Shalako (1962), Louis L'Amour",Shalako (1968),['1968']
1334,"The Shape of Things to Come (1933), H. G. Wells","Things to Come (1936)
H. G. Wells' The Shape of Things to Come (1979)","['1936', '1979']"
1335,"She: A History of Adventure (1886–87) (serial), (1887) (novel), Sir H. Rider Haggard","La Colonne de feu (The Pillar of Fire) (1899)
She (1908)
She (1911)
She (1916)
She (1917)
She (1925)
She (1935)
She (1965)
* The Vengeance of She (1968)
S+H+E: Security Hazards Expert (1980)
She (1982)
She (1985)
She (2001) (made and released direct-to-video only)","['1899', '1908', '1911', '1916', '1917', '1925', '1935', '1965', '1968', '1980', '1982', '1985', '2001']"
1336,"Shè diao ying xióng zhuàn (The Legend of the Condor Heroes) (1957–1959) (serial), (1959) (novel), Jin Yong","Story of the Vulture Conqueror (1958)
The Brave Archer (1977)
* The Brave Archer 2 (1978)
** The Brave Archer 3 (1981)
** * The Brave Archer and His Mate (1982)
Se diu ying hung ji dung sing sai jau (The Eagle Shooting Heroes) (1993)
Dongxié Xidú (Ashes of Time) (1994)","['1958', '1977', '1978', '1981', '1982', '1993', '1994']"
1337,"She Loves Me Not (1933), Edward Hope","She Loves Me Not (1934)
True to the Army (1942)
How to Be Very, Very Popular (1955)","['1934', '1942', '1955']"
1338,"Sheep (2004), Simon Maginn",The Dark (2005),['2005']
1339,"Shen Mu (Sacred Wood) (1999), Liu Qingbang",Blind Shaft (2003),['2003']
1340,"A Shilling for Candles (1936), Josephine Tey (pseudonym for Elizabeth MacKintosh)",Young and Innocent (1937),['1937']
1341,"The Shining (1977), Stephen King","The Shining (1980)
The Shining (1997) (TV)","['1980', '1997']"
1342,"Shining Through (1988), Susan Isaacs",Shining Through (1992),['1992']
1343,"The Shipping News (1993), Annie Proulx",The Shipping News (2001),['2001']
1344,"The Shrinking Man (1956), Richard Matheson","The Incredible Shrinking Man (1957)
The Incredible Shrinking Woman (1981)","['1957', '1981']"
1345,"The Shoes of the Fisherman (1963), Morris West",The Shoes of the Fisherman (1968),['1968']
1346,"Shoeless Joe (1982), W. P. Kinsella",Field of Dreams (1989),['1989']
1347,"The Shootist (1975), Glendon Swarthout",The Shootist (1976),['1976']
1348,"Shout at the Devil (1968), Wilbur Smith",Shout at the Devil (1976),['1976']
1349,"Shutter Island (2003), Dennis Lehane",Shutter Island (2010),['2010']
1350,"Sideways (2004), Rex Pickett",Sideways (2004),['2004']
1351,"The Siege of Trencher's Farm (1969), Gordon Williams","Straw Dogs (1971)
Straw Dogs (2011)","['1971', '2011']"
1352,"The Silence of the Lambs (1988), Thomas Harris",The Silence of the Lambs (1991),['1991']
1353,"The Singer Not the Song (1953), Audrey Erskine Lindop",The Singer Not the Song (1961),['1961']
1354,"Single Lady (1931), John Monk Saunders",The Last Flight (1931),['1931']
1355,"A Simple Plan (1993), Scott Smith",A Simple Plan (1998),['1998']
1356,"Simple Simon (1996), Ryne Douglas Pearson",Mercury Rising (1998),['1998']
1357,"Sister Carrie (1900), Theodore Dreiser",Carrie (1952),['1952']
1358,"The Sisterhood of the Traveling Pants (2001), Ann Brashares","The Sisterhood of the Traveling Pants (2005)
* The Sisterhood of the Traveling Pants 2 (2008)","['2005', '2008']"
1359,"Six Days of the Condor (1974), James Grady",Three Days of the Condor (1975),['1975']
1360,"Six Weeks (1976), Fred Mustard Stewart",Six Weeks (1982),['1982']
1361,"Skinwalkers (1986), Tony Hillerman",Skinwalkers (2002),['2002']
1362,"Skipping Christmas (2001), John Grisham",Christmas with the Kranks (2004),['2004']
1363,"Skyscraper (1931), Faith Baldwin",Skyscraper Souls (1932),['1932']
1364,"Slaughterhouse-Five (1969), Kurt Vonnegut",Slaughterhouse-Five (1972),['1972']
1365,"Slayground (1971), Donald E. Westlake (as Richard Stark)",Slayground (1983),['1983']
1366,"Sleeping with the Enemy (1987), Nancy Price",Sleeping with the Enemy (1991),['1991']
1367,"Sliver (1991), Ira Levin",Sliver (1993),['1993']
1368,"Slugs (1982), Shaun Hutson",Slugs (1988),['1988']
1369,"Small Vices (1997), Robert B. Parker",Spenser: Small Vices (1999) (TV),['1999']
1370,"The Snatchers (1953), Lionel White",The Night of the Following Day (1968),['1968']
1371,"Snow Angels (1994), Stewart O'Nan",Snow Angels (2007),['2007']
1372,"So Red the Rose (1934), Stark Young",So Red the Rose (1935),['1935']
1373,"Solaris (1961), Stanislaw Lem","Solaris (1972)
Solaris (2002)","['1972', '2002']"
1374,"Soldier of Fortune (1954), Ernest K. Gann",Soldier of Fortune (1955),['1955']
1375,"A Soldier's Daughter Never Cries (1990),[2] Kaylie Jones",A Soldier's Daughter Never Cries (1998),['1998']
1376,"Something Wicked This Way Comes (1962), Ray Bradbury",Something Wicked This Way Comes (1983),['1983']
1377,"The Song of Bernadette (1941), Franz Werfel",The Song of Bernadette (1943),['1943']
1378,"Sons and Lovers (1913), D. H. Lawrence","Sons and Lovers (1960)
Sons and Lovers (1981) (TV) (serial)
Sons and Lovers (2003) (TV) (serial)","['1960', '1981', '2003']"
1379,"S.O.S. Noronha (1954), Pierre Viré",S.O.S. Noronha (1957),['1957']
1380,"Sour Sweet (1982), Timothy Mo",Soursweet (1989),['1989']
1381,"Sorstalanság (Fatelessness) (1975), Imre Kertész",Fateless (2005),['2005']
1382,"The Sound and the Fury (1929), William Faulkner",The Sound and the Fury (1959),['1959']
1383,"Space (1982), James A. Michener",Space (1985) (TV),['1985']
1384,"The Space Vampires (1976), Colin Wilson",Lifeforce (1985),['1985']
1385,"The Spanish Gardener (1950), A. J. Cronin",The Spanish Gardener (1957),['1957']
1386,"Spartacus (1951), Howard Fast","Spartacus (1960)
Spartacus (2004)","['1960', '2004']"
1387,"Sphere (1987), Michael Crichton",Sphere (1998),['1998']
1388,"Spider (1990), Patrick McGarth",Spider (2002),['2002']
1389,"The Spiderwick Chronicles (2003–2009) (series), Tony DiTerlizzi and Holly Black",The Spiderwick Chronicles (2008),['2008']
1390,"Spirales (1987), Christopher Frank",Spirale (1987),['1987']
1391,"Split Images (1981), Elmore Leonard",Split Images (1992) (TV),['1992']
1392,"The Spoilers (1906), Rex Beach","The Spoilers (1914)
The Spoilers (1923)
The Spoilers (1930)
The Spoilers (1942)
The Spoilers (1955)","['1914', '1923', '1930', '1942', '1955']"
1393,"The Spook Who Sat by the Door (1969), Sam Greenlee",The Spook Who Sat by the Door (1973),['1973']
1394,"A Sporting Proposition (1973), James Aldridge",Ride a Wild Pony (1975),['1975']
1395,"Spy Story (1974), Len Deighton",Spy Story (1976),['1976']
1396,"The Spy Who Came in from the Cold (1963), John le Carré",The Spy Who Came in from the Cold (1965),['1965']
1397,"The Spy Who Loved Me (1962), Ian Fleming",The Spy Who Loved Me (1977),['1977']
1398,"Stairs of Sand (1929), Zane Grey",Stairs of Sand (1929),['1929']
1399,"The Stalking Moon (1965), T. V. Olsen",The Stalking Moon (1968),['1968']
1400,"The Stand (1978), Stephen King","The Stand (1994) (TV)
The Stand (future, TBA)",['1994']
1401,"Stand at Spanish Boot (1948), Harry Brown",Apache Drums (1951),['1951']
1402,"Stara baśń. Powieść z dziejów Polski (An Ancient Tale: A Novel in Polish History) (1876), Józef Ignacy Kraszewski",Stara basn: kiedy slonce bylo bogiem (An Ancient Tale: When the Sun Was a God) (2003),['2003']
1403,"Stardust (1999), Neil Gaiman",Stardust (2007),['2007']
1404,"Starfire (1960), Robert Buckner",Moon Pilot (1962),['1962']
1405,"Star in the West (1959), Richard Emery Roberts",The Second Time Around (1961),['1961']
1406,"Stars In My Crown (1947), Joe David Brown",Stars In My Crown (1950),['1950']
1407,"The Stars Look Down (1935), A. J. Cronin",The Stars Look Down (1939),['1939']
1408,"Starship Troopers (1959), Robert A. Heinlein","Starship Troopers (1997)
* Starship Troopers 2: Hero of the Federation (2004)
** Starship Troopers 3: Marauder (2007)","['1997', '2004', '2007']"
1409,"Station West (1948), Luke Short",Station West (1948),['1948']
1410,"The Stepford Wives (1972), Ira Levin","The Stepford Wives (1975)
* Revenge of the Stepford Wives (1980) (TV)
** The Stepford Children (1987) (TV)
** * The Stepford Husbands (1996) (TV)
The Stepford Wives (2004)","['1975', '1980', '1987', '1996', '2004']"
1411,"Stella Dallas (1923), Olive Higgins Prouty","Stella Dallas (1925)
Stella Dallas (1937)
Stella (1990)","['1925', '1937', '1990']"
1412,"A Stir of Echoes (1958), Richard Matheson","Stir of Echoes (1999)
* Stir of Echoes: The Homecoming (2007)","['1999', '2007']"
1413,"Storm in the City (1950), Horace McCoy",The Turning Point (1952),['1952']
1414,"Strange Case of Dr Jekyll and Mr Hyde (1886), Robert Louis Stevenson","Dr. Jekyll and Mr. Hyde (1908)
Den Skæbnesvangre Opfindelse (Dr. Jekyll and Mr. Hyde) (1910)
Dr. Jekyll and Mr. Hyde (1912)
Dr. Jekyll and Mr. Hyde (1913)
Dr. Jekyll and Mr. Hyde (1920)
Dr. Jekyll and Mr. Hyde (1920)
Der Januskopf (The Head of Janus) (1920)
Dr. Jekyll and Mr. Hyde (1931)
Dr. Jekyll and Mr. Hyde (1941)
The Son of Dr. Jekyll (1951)
* The Daughter of Dr. Jekyll (1957)
The Testament of Dr. Cordelier (1959)
The Two Faces of Dr. Jekyll (1960)
The Nutty Professor (1963)
* The Nutty Professor (2008)
The Strange Case of Dr. Jekyll and Mr. Hyde (1968)
Dr. Jekyll and Sister Hyde (1971)
I, Monster (1971)
Dr. Jekyll y el Hombre Lobo (1972)
Dr. Jekyll and Mr. Hyde (1973) (TV)
The Strange Case of Dr. Jekyll and Mr. Hyde (1981) (TV)
Jekyll and Hyde... Together Again (1982)
The Strange Case of Dr. Jekyll and Mr. Hyde (1985)
Dr. Jekyll and Mr. Hyde (1986) (TV)
Edge of Sanity (1989)
Dr. Jekyll and Mr. Hyde (1989) (TV)
Jekyll & Hyde (1990) (TV)
Dr. Jekyll and Ms. Hyde (1995)
Mary Reilly (1996) (TV)
The Nutty Professor (1996)
* Nutty Professor II: The Klumps (2000)
Dr. Jekyll & Mr. Hyde (1999) (TV)
Dr. Jekyll and Mr. Hyde (2002) (TV)
Jekyll + Hyde (2006) (TV)
Jekyll (2007) (TV)
Dr. Jekyll & Mr. Hyde (2008) (TV)
Jekyll (future, TBA)","['1908', '1910', '1912', '1913', '1920', '1920', '1920', '1931', '1941', '1951', '1957', '1959', '1960', '1963', '2008', '1968', '1971', '1971', '1972', '1973', '1981', '1982', '1985', '1986', '1989', '1989', '1990', '1995', '1996', '1996', '2000', '1999', '2002', '2006', '2007', '2008']"
1415,"A Stranger Came Home (1949), George Sanders",A Stranger Came Home (1954),['1954']
1416,"A Stranger Is Watching (1977), Mary Higgins Clark",A Stranger Is Watching (1982),['1982']
1417,"Strangers on a Train (1950), Patricia Highsmith",Strangers on a Train (1951),['1951']
1418,"Stranger's Return (1933), Philip Stong",The Stranger's Return (1933),['1933']
1419,"The Street Lawyer (1998), John Grisham",The Street Lawyer (2003) (TV),['2003']
1420,"Strip Tease (1993), Carl Hiaasen",Striptease (1996),['1996']
1421,"Stuart Little (1945), E. B. White","Stuart Little (1999)
* Stuart Little 2 (2002)
** Stuart Little 3: Call of the Wild (2006) (V)","['1999', '2002', '2006']"
1422,"The Stud (1969), Jackie Collins",The Stud (1978),['1978']
1423,"Stupeur et Tremblement (Fear and Trembling) (1999), Amélie Nothomb",Fear and Trembling (Stupeur et tremblements) (2003),['2003']
1424,"Sultana - La Nuit du Serail (1982), Prince Michael of Greece and Denmark",The Favorite (a.k.a. Intimate Power) (1989),['1989']
1425,"The Sum of All Fears (1991), Tom Clancy",The Sum of All Fears (2002),['2002']
1426,"Summer Pass (1931), Zane Grey",Summer Pass (1933),['1933']
1427,"The Sun Also Rises (1926), Ernest Hemingway","The Sun Also Rises (1957)
The Sun Also Rises (1984) (TV)","['1957', '1984']"
1428,"The Swarm (1974), Arthur Herzog",The Swarm (1978),['1978']
1429,"Der Schweizerische Robinson (The Swiss Family Robinson) (1812), Johann David Wyss","Al-Ṭurfa al-Šahiyya fī aḫbār al-ʿAʾila al-Swīsiyya - Arabic translation (c. 1900)
Swiss Family Robinson (1940 film)
Mighty Mouse in: Swiss Cheese Family Robinson (1947)
The Swiss Family Robinson (1958) (TV)
Swiss Family Robinson (1960)
The Swiss Family Robinson (1973) (TV)
The Swiss Family Robinson (1973) (TV)
The Swiss Family Robinson (1975) (TV)
The Swiss Family Robinson (1976)
Mountain Family Robinson (1979)
The Adventures of Swiss Family Robinson (1998)
Beverly Hills Family Robinson (1998) (TV)
The New Swiss Family Robinson (1998) (TV)
Stranded (2002) (TV)","['1940', '1947', '1958', '1960', '1973', '1973', '1975', '1976', '1979', '1998', '1998', '1998', '2002']"
1430,"The Sword in the Stone (1938), T. H. White",The Sword in the Stone (1963),['1963']
1432,"Taggart (1959), Louis L'Amour",Taggart (1964),['1964']
1433,"Tai-Pan (1966), James Clavell",Tai-Pan (1986),['1986']
1434,"Take Three Tenses: A Fugue in Time (1945), Rumer Godden",Enchantment (1948),['1948']
1435,"The Taking of Pelham One Two Three (1973), Morton Freedgood (as John Godey)","The Taking of Pelham One Two Three (1974)
The Taking of Pelham One Two Three (1998) (TV)
The Taking of Pelham 123 (2009)","['1974', '1998', '2009']"
1436,"A Tale of Two Cities (1859), Charles Dickens","A Tale of Two Cities (1911)
A Tale of Two Cities (1917)
A Tale of Two Cities (1922)
The Only Way (1927)
A Tale of Two Cities (1935)
A Tale of Two Cities (1958)","['1911', '1917', '1922', '1927', '1935', '1958']"
1437,"Tales of the South Pacific (1947), James A. Michener","South Pacific (1958)
South Pacific (2001)","['1958', '2001']"
1438,"The Talented Mr. Ripley (1955), Patricia Highsmith","Plein Soleil (1960)
The Talented Mr. Ripley (1999)","['1960', '1999']"
1439,"The Tall Men (1954), Henry Wilson Allen",The Tall Men (1954),['1954']
1440,"Al-Tareeq al-Masdood (The Barred Road) (1954), Ihsan Abdel Quddous",Al-Tareeq al-Masdood (1958),['1958']
1441,"Tarzan (1912–1965, 1995) (series), Edgar Rice Burroughs
Tarzan of the Apes (1912)
* The Return of Tarzan (1913)
** The Beasts of Tarzan (1914)
*** The Son of Tarzan (1915)
**** Tarzan and the Jewels of Opar (1916)
***** Jungle Tales of Tarzan (1919)
****** Tarzan the Untamed (1920)
******* Tarzan the Terrible (1921)
******** Tarzan and the Golden Lion (1922/23)
********* Tarzan and the Ant Men (1924)
********** Tarzan, Lord of the Jungle (1927/28)
*********** Tarzan and the Lost Empire (1928/29)
************ Tarzan at the Earth's Core (1929/30)
************* Tarzan the Invincible (1930/31)
************** Tarzan Triumphant (1931/32)
*************** Tarzan and the City of Gold (1932)
**************** Tarzan and the Lion Man (1933/34)
***************** Tarzan and the Leopard Men (1932/33)
****************** Tarzan's Quest (1935/36)
******************* Tarzan and the Forbidden City (1938)
******************** Tarzan the Magnificent (1939)
********************* Tarzan and the Foreign Legion (1947)
********************** Tarzan and the Madman (1964)
*********************** Tarzan and the Castaways (1965)
************************ Tarzan: The Lost Adventure (1995, with Joe R. Lansdale)","Tarzan of the Apes (1918)
* The Romance of Tarzan (1918)
** The Revenge of Tarzan (1920)
** * The Son of Tarzan (1920)
** ** The Adventures of Tarzan (1921)
** ** * Tarzan and the Golden Lion (1927)
** ** ** Tarzan the Mighty (1928)
** ** ** * Tarzan the Tiger (1929)
Tarzan the Ape Man (1932)
Tarzan the Fearless (1933)
* Tarzan and His Mate (1934)
The New Adventures of Tarzan (1935)
** Tarzan Escapes (1936)
Tarzan and the Green Goddess (1938)
Tarzan’s Revenge (1938)
** * Tarzan Finds a Son! (1939)
** ** Tarzan's Secret Treasure (1941)
** ** * Tarzan's New York Adventure (1942)
** ** ** Tarzan Triumphs (1943)
** ** ** * Tarzan's Desert Mystery (1943)
** ** ** ** Tarzan and the Amazons (1945)
** ** ** ** * Tarzan and the Leopard Woman (1946)
** ** ** ** ** Tarzan and the Huntress (1947)
** ** ** ** ** * Tarzan and the Mermaids (1948)
Tarzan's Magic Fountain (1949)
* Tarzan and the Slave Girl (1950)
** Tarzan's Peril (1951)
** * Tarzan's Savage Fury (1952)
** ** Tarzan and the She-Devil (1953)
Tarzan's Hidden Jungle (1955)
* Tarzan and the Lost Safari (1957)
** Tarzan and the Trappers (1958)
** * Tarzan's Fight for Life (1958)
** ** Tarzan's Greatest Adventure (1959)
Tarzan, the Ape Man (1959)
** ** * Tarzan the Magnificent (1960)
Tarzan Goes to India (1962)
* Tarzan's Three Challenges (1963)
Tarzan and the Valley of Gold (1966)
* Tarzan and the Great River (1967)
** Tarzan and the Jungle Boy (1968)
Tarzan's Deadly Silence (1970)
Tarzan and the Brown Prince (1972)
Tarzan, the Ape Man (1981)
Greystoke: The Legend of Tarzan, Lord of the Apes (1984)
Tarzan and the Lost City (1998)
Tarzan of the Apes (1999)
Disney's Tarzan (1999–2005) (series)
Tarzan (1999)
* Tarzan & Jane (2002)
** Tarzan II (2005)","['1918', '1918', '1920', '1920', '1921', '1927', '1928', '1929', '1932', '1933', '1934', '1935', '1936', '1938', '1938', '1939', '1941', '1942', '1943', '1943', '1945', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1955', '1957', '1958', '1958', '1959', '1959', '1960', '1962', '1963', '1966', '1967', '1968', '1970', '1972', '1981', '1984', '1998', '1999', '1999', '1999', '2002', '2005']"
1442,"Telefon (1975), Walter Wager",Telefon (1977),['1977']
1443,"Ten Against Caesar (a. k. a. Trail's End at 'Dobe Town) (1952), Kathleen B. George and Robert A. Granger",Gun Fury (1953),['1953']
1444,"Loving Care (1984), Andrew Neiderman",Tender Loving Care (1999) (V),['1999']
1445,"The Terminal Man (1972), Michael Crichton",The Terminal Man (1974),['1974']
1446,"Terms of Endearment (1975), Larry McMurtry",Terms of Endearment (1983),['1983']
1447,"As Terras Do Risco (1994), Agustina Bessa-Luís",The Convent (1995),['1995']
1448,"Tess of the d'Urbervilles (1891), Thomas Hardy","Tess of the d'Urbervilles (1913)
Tess of the d'Urbervilles (1924)
Tess (1979)","['1913', '1924', '1979']"
1449,"The Tesseract (1998), Alex Garland",The Tesseract (2003),['2003']
1450,"Tex (1979), S. E. Hinton",Tex (1982),['1982']
1451,"Texas (1985), James A. Michener",James A. Michener's Texas (1994) (TV),['1994']
1452,"Texasville (1987), Larry McMurtry",Texasville (1990),['1990']
1453,"Theatre (1937), W. Somerset Maugham","Bezaubernde Julia (1960) (TV)
Du bist zauberhaft (Adorable Julia) (1962)
Theatre (1978)
Poniro thilyko... katergara gynaika! (1980)
Being Julia (2004)","['1960', '1962', '1978', '1980', '2004']"
1454,"There's a Porpoise Close Behind Us, Arthur Barker (1936), Noel Langley",These Foolish Things (2005),['2005']
1455,"These Foolish Things (2004), Deborah Moggach",The Best Exotic Marigold Hotel (2012),['2012']
1456,"They Came to Cordura (1958), Glendon Swarthout",They Came to Cordura (1959),['1959']
1457,"They Do It with Mirrors (1952), Agatha Christie","Murder Ahoy! (1964)
Murder with Mirrors (1985) (TV)","['1964', '1985']"
1458,"They Saved London (1955), Bernard Newman",Battle of the V-1 (1958),['1958']
1459,"They Shoot Horses, Don't They? (1935), Horace McCoy","They Shoot Horses, Don't They? (1969)",['1969']
1460,"Thin Air (1995), Robert B. Parker",Thin Air (2000) (TV),['2000']
1461,"The Thirteenth Guest (1929), Armitage Trail",The Thirteenth Guest (1932),['1932']
1462,"The Thirty-Nine Steps (1915), John Buchan","The 39 Steps (1935)
The 39 Steps (1959)
The Thirty Nine Steps (1978)
The 39 Steps (2008)
The Thirty-Nine Steps (2011)","['1935', '1959', '1978', '2008', '2011']"
1463,"Thieves Like Us (1937), Frederick A. Stokes","They Live by Night (1950)
Thieves Like Us (1974)","['1950', '1974']"
1464,"Thomasina: The Cat Who Thought She Was God (1957), Paul Gallico",The Three Lives of Thomasina (1964),['1964']
1465,"Thor (1993), Wayne Smith",Bad Moon (1996),['1996']
1466,"Thunder Mountain (1935), Zane Grey","Thunder Mountain (1935)
Thunder Mountain (1947)","['1935', '1947']"
1467,"Thunderball (1961), Ian Fleming","Thunderball (1965)
Never Say Never Again (1983)","['1965', '1983']"
1468,"Thunderhead (1943), Mary O'Hara","Thunderhead, Son of Flicka (1945)",['1945']
1469,"The Thundering Herd (1925), Zane Grey","The Thundering Herd (1925)
The Thundering Herd (1933)","['1925', '1933']"
1470,"Three Godfathers (1913), Peter B. Kyne","The Three Godfathers (1916)
Marked Men (1919)
Action (1921)
Hell's Heroes (1930)
Three Godfathers (1936)
3 Godfathers (1948)
The Godchild (1974) (TV)","['1916', '1919', '1921', '1930', '1936', '1948', '1974']"
1471,"Three-Ten to Yuma (1953), Elmore Leonard","3:10 to Yuma (1957)
3:10 to Yuma (2007)","['1957', '2007']"
1472,"The Three Worlds of Johnny Handsome (1973), Morton Freedgood",Johnny Handsome (1989),['1989']
1473,"A Thrill a Minute with Jack Albany (1967), Morton Freedgood (as John Godey)",Never a Dull Moment (1968),['1968']
1474,"A Tiger Walks (1960), Ian Niall",A Tiger Walks (1964),['1964']
1475,"Time After Time (1979), Karl Alexander",Time After Time (1979),['1979']
1476,"The Time Machine (1895), H. G. Wells","The Time Machine (1960)
The Time Machine (1978) (TV)
Time After Time (1979)
The Time Machine (2002)","['1960', '1978', '1979', '2002']"
1477,"A Time to Kill (1989), John Grisham",A Time to Kill (1996),['1996']
1478,"The Time Traveler's Wife (2003), Audrey Niffenegger",The Time Traveler's Wife (2009),['2009']
1479,"Timeline (1999), Michael Crichton",Timeline (2003),['2003']
1480,"Tinker, Tailor, Soldier, Spy (1974), John le Carré","Tinker, Tailor, Soldier, Spy (2011)",['2011']
1481,"To Catch a Thief (1952), David F. Dodge",To Catch a Thief (1955),['1955']
1482,"To Have and Have Not (1937), Ernest Hemingway","To Have and Have Not (1944)
The Breaking Point (1950)
The Gun Runners (1958)","['1944', '1950', '1958']"
1483,"To Kill a Mockingbird (1960), Harper Lee",To Kill a Mockingbird (1962),['1962']
1484,"To Sir, With Love (1959), E.R. Braithwaite","To Sir, with Love (1967)
* To Sir, with Love II (1996) (TV)","['1967', '1996']"
1485,"The Molly Fountain mini series - To the Devil (1953), Dennis Wheatley",To the Devil a Daughter (1976),['1976']
1486,"To the Last Man (1921), Zane Grey",To the Last Man (1933),['1933']
1487,"Der Tod in Venedig (Death in Venice) (1912), Thomas Mann",Death in Venice (1971),['1971']
1488,"Toby Tyler; or, Ten Weeks with a Circus (1877) (serial), (1881) (novel), James Otis Kaler (as James Otis)",Toby Tyler (1960),['1960']
1489,"Toilers of the Sea (French: ""Les Travailleurs de la Mer"") (1866), Victor Hugo","Toilers of the Sea (1914)
Toilers of the Sea (1915)
Toilers of the Sea (1923)
Toilers of the Sea (1936)
Sea Devils (1953)","['1914', '1915', '1923', '1936', '1953']"
1490,"Topaz (1967), Leon Uris",Topaz (1969),['1969']
1491,"Touch (1987), Elmore Leonard",Touch (1997),['1997']
1492,"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873), Jules Verne","'Round the World in 80 Days (1914)
Around the World in Eighty Days (1919)
Around the World in 80 Days (1956)
The Three Stooges Go Around the World in a Daze (1963)
Around the World in Eighty Days (1972) (made in Australia)
Around the World in Eighty Days (1972) (made in Canada)
Around the World with Willy Fog (1981–1983)
Ginga Shippu Sasuraiger (1983)
Around the World in Eighty Days (1987)
Around the World in 80 Days (1988) (V)
Around the World in 80 Days (1989) (TV) (mini)
Around the World in 80 Days (1999) (V)
Tweety's High-Flying Adventure (2000)
Around the World in 80 Days (2004)","['1914', '1919', '1956', '1963', '1972', '1972', '1981', '1983', '1987', '1988', '1989', '1999', '2000', '2004']"
1493,"Tous les hommes sont mortels (All Men Are Mortal) (1946), Simone de Beauvoir",All Men Are Mortal (1995),['1995']
1494,"The Tower (1973), Richard Martin Stern",The Towering Inferno (1974),['1974']
1495,"A Town Like Alice (1950), Nevil Shute",A Town Like Alice (1956),['1956']
1496,"The Track of the Cat (1949), Walter Van Tilburg Clark",Track of the Cat (1952),['1952']
1497,"Trainspotting (1993), Irvine Welsh",Trainspotting (1996),['1996']
